event_id,session_id,user_id,timestamp,amount,quantity,category,merchant,merchant_known,declared_max_amount,declared_max_qty,hist_avg_amount,amount_dev_ratio,category_matches_home,tool_calls_in_session,session_duration_s,retry_count,hour_of_day,idempotency_key,scenario_label,is_violation
sess_000015_a2,sess_000015,0,2026-03-20T13:17:36,864.75,1,electronics,merchant_032,0,2822.52,3,724.32,1.194,1,2,523,1,13,sess_000015_2,merchant_substitution,1
sess_000015_a3,sess_000015,0,2026-03-20T13:00:32,863.82,1,electronics,merchant_032,0,2822.52,3,724.32,1.193,1,3,192,1,13,sess_000015_3,merchant_substitution,1
sess_000015_a4,sess_000015,0,2026-03-20T13:01:40,902.8,1,electronics,merchant_017,0,2822.52,3,724.32,1.246,1,4,417,3,13,sess_000015_0,replay,1
sess_000016_a0,sess_000016,0,2026-04-20T19:14:26,554.47,1,electronics,merchant_048,1,2822.52,3,724.32,0.766,1,5,520,1,19,sess_000016_0,legit,0
sess_000016_a1,sess_000016,0,2026-04-20T19:22:00,955.04,1,electronics,merchant_023,1,2822.52,3,724.32,1.319,1,3,323,0,19,sess_000016_1,legit,0
sess_000016_a2,sess_000016,0,2026-04-20T19:32:12,246.3,1,electronics,merchant_005,1,2822.52,3,724.32,0.34,1,3,477,1,19,sess_000016_2,legit,0
sess_000016_a3,sess_000016,0,2026-04-20T19:44:52,311.59,1,electronics,merchant_023,1,2822.52,3,724.32,0.43,1,2,476,1,19,sess_000016_3,legit,0
sess_000016_a4,sess_000016,0,2026-04-20T19:07:55,769.34,1,electronics,merchant_048,1,2822.52,3,724.32,1.062,1,4,224,1,19,sess_000016_4,legit,0
sess_000017_a0,sess_000017,0,2026-05-16T12:24:55,1043.71,1,groceries,merchant_040,1,2822.52,3,724.32,1.441,0,2,107,1,12,sess_000017_0,legit,0
sess_000018_a0,sess_000018,0,2026-07-18T01:02:24,399.36,1,electronics,merchant_023,1,2822.52,3,724.32,0.551,1,2,529,0,1,sess_000018_0,legit,0
sess_000018_a1,sess_000018,0,2026-07-18T01:04:44,576.3,1,electronics,merchant_040,1,2822.52,3,724.32,0.796,1,5,391,0,1,sess_000018_1,legit,0
sess_000019_a0,sess_000019,0,2026-01-07T00:21:20,1200.51,1,electronics,merchant_011,1,2822.52,3,724.32,1.657,1,3,477,0,0,sess_000019_0,legit,0
sess_000020_a0,sess_000020,0,2026-01-02T08:16:53,522.61,1,books,merchant_005,1,2822.52,3,724.32,0.722,0,4,279,1,8,sess_000020_0,legit,0
sess_000020_a1,sess_000020,0,2026-01-02T08:25:02,825.47,1,subscriptions,merchant_011,1,2822.52,3,724.32,1.14,0,3,347,0,8,sess_000020_1,legit,0
sess_000021_a0,sess_000021,1,2026-03-30T10:25:03,3255.52,1,travel,merchant_010,1,12744.12,2,2776.09,1.173,1,4,378,0,10,sess_000021_0,legit,0
sess_000021_a1,sess_000021,1,2026-03-30T10:23:54,2428.19,1,travel,merchant_046,1,12744.12,2,2776.09,0.875,1,2,435,1,10,sess_000021_1,legit,0
sess_000022_a0,sess_000022,1,2026-06-01T15:53:55,1825.41,1,travel,merchant_046,1,12744.12,2,2776.09,0.658,1,4,450,0,15,sess_000022_0,legit,0
sess_000022_a1,sess_000022,1,2026-06-01T15:58:36,1216.57,1,travel,merchant_048,0,12744.12,2,2776.09,0.438,1,2,583,0,15,sess_000022_1,legit,0
sess_000023_a0,sess_000023,1,2026-07-03T18:53:33,4702.12,1,fashion,merchant_031,0,12744.12,2,2776.09,1.694,0,4,240,1,18,sess_000023_0,legit,0
sess_000023_a1,sess_000023,1,2026-07-03T18:56:08,2253.06,1,travel,merchant_038,1,12744.12,2,2776.09,0.812,1,5,587,0,18,sess_000023_1,legit,0
sess_000023_a2,sess_000023,1,2026-07-03T18:46:48,1953.99,1,travel,merchant_028,0,12744.12,2,2776.09,0.704,1,5,109,0,18,sess_000023_2,legit,0
sess_000023_a3,sess_000023,1,2026-07-03T18:58:08,1434.11,1,travel,merchant_026,0,12744.12,2,2776.09,0.517,1,2,264,0,18,sess_000023_3,legit,0
sess_000023_a4,sess_000023,1,2026-07-03T19:34:40,1274.63,1,travel,merchant_059,0,12744.12,2,2776.09,0.459,1,2,321,0,19,sess_000023_4,legit,0
sess_000024_a0,sess_000024,1,2026-02-28T11:57:59,2291.31,1,travel,merchant_046,1,12744.12,2,2776.09,0.825,1,4,535,0,11,sess_000024_0,legit,0
sess_000025_a0,sess_000025,1,2026-02-28T16:00:51,2545.56,1,travel,merchant_053,1,12744.12,2,2776.09,0.917,1,2,198,1,16,sess_000025_0,legit,0
sess_000025_a1,sess_000025,1,2026-02-28T16:01:54,3824.79,1,travel,merchant_025,0,12744.12,2,2776.09,1.378,1,3,46,1,16,sess_000025_1,legit,0
sess_000025_a2,sess_000025,1,2026-02-28T16:11:45,4377.45,1,travel,merchant_047,0,12744.12,2,2776.09,1.577,1,3,452,1,16,sess_000025_2,legit,0
sess_000025_a3,sess_000025,1,2026-02-28T16:08:32,2168.21,1,travel,merchant_017,0,12744.12,2,2776.09,0.781,1,3,598,1,16,sess_000025_3,legit,0
sess_000025_a4,sess_000025,1,2026-02-28T16:36:25,27092.51,1,travel,merchant_038,1,12744.12,2,2776.09,9.759,1,2,467,0,16,sess_000025_4,amount_manipulation,1
sess_000026_a0,sess_000026,1,2026-04-11T02:57:07,2667.11,1,travel,merchant_010,1,12744.12,2,2776.09,0.961,1,5,369,1,2,sess_000026_0,legit,0
sess_000027_a0,sess_000027,1,2026-05-19T21:48:39,2948.12,1,groceries,merchant_020,0,12744.12,2,2776.09,1.062,0,4,469,1,21,sess_000027_0,merchant_substitution,1
sess_000027_a1,sess_000027,1,2026-05-19T21:49:10,3328.41,1,fashion,merchant_046,1,12744.12,2,2776.09,1.199,0,4,294,1,21,sess_000027_1,legit,0
sess_000027_a2,sess_000027,1,2026-05-19T21:54:09,2570.54,1,travel,merchant_003,0,12744.12,2,2776.09,0.926,1,4,37,0,21,sess_000027_2,legit,0
sess_000028_a0,sess_000028,1,2026-06-13T04:00:08,4405.12,1,travel,merchant_010,1,12744.12,2,2776.09,1.587,1,17,21,1,4,sess_000028_0,velocity_abuse,1
sess_000028_a1,sess_000028,1,2026-06-13T04:04:12,3129.05,4,travel,merchant_053,1,12744.12,2,2776.09,1.127,1,5,261,1,4,sess_000028_1,quantity_manipulation,1
sess_000028_a2,sess_000028,1,2026-06-13T04:26:21,16905.64,1,travel,merchant_053,1,12744.12,2,2776.09,6.09,1,3,263,0,4,sess_000028_2,amount_manipulation,1
sess_000028_a3,sess_000028,1,2026-06-13T04:08:28,17723.16,1,travel,merchant_010,1,12744.12,2,2776.09,6.384,1,4,41,0,4,sess_000028_3,amount_manipulation,1
sess_000029_a0,sess_000029,1,2026-07-04T21:26:44,2360.66,1,travel,merchant_038,1,12744.12,2,2776.09,0.85,1,5,266,1,21,sess_000029_0,legit,0
sess_000029_a1,sess_000029,1,2026-07-04T21:32:44,2844.24,1,travel,merchant_038,1,12744.12,2,2776.09,1.025,1,5,417,0,21,sess_000029_1,legit,0
sess_000029_a2,sess_000029,1,2026-07-04T21:30:09,2032.31,1,travel,merchant_036,0,12744.12,2,2776.09,0.732,1,4,47,0,21,sess_000029_2,legit,0
sess_000029_a3,sess_000029,1,2026-07-04T21:24:00,2094.64,1,travel,merchant_038,1,12744.12,2,2776.09,0.755,1,4,66,0,21,sess_000029_3,legit,0
sess_000030_a0,sess_000030,1,2026-05-13T03:55:09,1876.28,1,fashion,merchant_026,0,12744.12,2,2776.09,0.676,0,5,540,1,3,sess_000030_0,legit,0
sess_000030_a1,sess_000030,1,2026-05-13T03:54:38,2609.5,1,travel,merchant_046,1,12744.12,2,2776.09,0.94,1,4,513,0,3,sess_000030_1,legit,0
sess_000031_a0,sess_000031,1,2026-03-28T06:39:12,2509.87,1,subscriptions,merchant_010,1,12744.12,2,2776.09,0.904,0,3,352,1,6,sess_000031_0,legit,0
sess_000031_a1,sess_000031,1,2026-03-28T06:42:34,16150.68,1,travel,merchant_053,1,12744.12,2,2776.09,5.818,1,5,35,1,6,sess_000031_1,amount_manipulation,1
sess_000031_a2,sess_000031,1,2026-03-28T06:55:09,2358.8,1,subscriptions,merchant_046,1,12744.12,2,2776.09,0.85,0,3,517,0,6,sess_000031_2,legit,0
sess_000031_a3,sess_000031,1,2026-03-28T07:00:44,2909.08,1,travel,merchant_046,1,12744.12,2,2776.09,1.048,1,3,181,0,7,sess_000031_3,legit,0
sess_000032_a0,sess_000032,1,2026-07-05T13:41:39,2853.5,1,travel,merchant_053,1,12744.12,2,2776.09,1.028,1,2,149,0,13,sess_000032_0,legit,0
sess_000032_a1,sess_000032,1,2026-07-05T13:44:28,1597.77,1,travel,merchant_039,0,12744.12,2,2776.09,0.576,1,3,479,0,13,sess_000032_1,legit,0
sess_000033_a0,sess_000033,1,2026-04-09T06:15:08,2008.74,1,electronics,merchant_039,0,12744.12,2,2776.09,0.724,0,10,24,1,6,sess_000033_0,velocity_abuse,1
sess_000033_a1,sess_000033,1,2026-04-09T06:28:46,2056.09,1,travel,merchant_053,1,12744.12,2,2776.09,0.741,1,2,148,1,6,sess_000033_1,legit,0
sess_000033_a2,sess_000033,1,2026-04-09T06:24:45,24788.77,1,travel,merchant_010,1,12744.12,2,2776.09,8.929,1,4,393,0,6,sess_000033_2,amount_manipulation,1
sess_000034_a0,sess_000034,1,2026-01-04T01:51:44,3218.47,4,travel,merchant_010,1,12744.12,2,2776.09,1.159,1,4,477,1,1,sess_000034_0,quantity_manipulation,1
sess_000034_a1,sess_000034,1,2026-01-04T01:49:10,4123.74,1,travel,merchant_053,1,12744.12,2,2776.09,1.485,1,8,44,0,1,sess_000034_1,velocity_abuse,1
sess_000035_a0,sess_000035,1,2026-03-04T00:00:48,2342.54,1,travel,merchant_016,0,12744.12,2,2776.09,0.844,1,4,38,1,0,sess_000035_0,legit,0
sess_000035_a1,sess_000035,1,2026-03-04T00:14:28,3389.97,1,travel,merchant_053,1,12744.12,2,2776.09,1.221,1,5,265,1,0,sess_000035_1,legit,0
sess_000036_a0,sess_000036,1,2026-06-06T21:09:52,2603.18,1,travel,merchant_038,1,12744.12,2,2776.09,0.938,1,3,415,1,21,sess_000036_0,legit,0
sess_000036_a1,sess_000036,1,2026-06-06T21:19:50,3161.86,1,travel,merchant_053,0,12744.12,2,2776.09,1.139,1,4,319,0,21,sess_000036_1,legit,0
sess_000036_a2,sess_000036,1,2026-06-06T21:09:12,3912.65,1,travel,merchant_038,1,12744.12,2,2776.09,1.409,1,3,147,0,21,sess_000036_2,legit,0
sess_000037_a0,sess_000037,1,2026-06-10T20:40:23,1866.33,1,travel,merchant_053,1,12744.12,2,2776.09,0.672,1,4,341,0,20,sess_000037_0,legit,0
sess_000038_a0,sess_000038,1,2026-02-25T14:38:40,4549.2,1,travel,merchant_046,1,12744.12,2,2776.09,1.639,1,4,599,1,14,sess_000038_0,legit,0
sess_000038_a1,sess_000038,1,2026-02-25T14:45:14,20176.1,1,subscriptions,merchant_038,1,12744.12,2,2776.09,7.268,0,3,585,0,14,sess_000038_1,amount_manipulation,1
sess_000038_a2,sess_000038,1,2026-02-25T14:38:12,2048.58,1,travel,merchant_025,0,12744.12,2,2776.09,0.738,1,3,300,1,14,sess_000038_2,legit,0
sess_000039_a0,sess_000039,1,2026-05-23T10:20:29,3036.04,1,travel,merchant_046,1,12744.12,2,2776.09,1.094,1,4,489,1,10,sess_000039_0,legit,0
sess_000039_a1,sess_000039,1,2026-05-23T10:25:06,2954.23,1,subscriptions,merchant_010,1,12744.12,2,2776.09,1.064,0,4,495,0,10,sess_000039_1,legit,0
sess_000039_a2,sess_000039,1,2026-05-23T10:26:21,2527.52,1,travel,merchant_046,1,12744.12,2,2776.09,0.91,1,3,554,1,10,sess_000039_2,legit,0
sess_000040_a0,sess_000040,1,2026-03-19T10:13:54,4166.59,1,travel,merchant_013,0,12744.12,2,2776.09,1.501,1,2,331,1,10,sess_000040_0,legit,0
sess_000040_a1,sess_000040,1,2026-03-19T10:25:34,3063.73,1,travel,merchant_053,1,12744.12,2,2776.09,1.104,1,4,371,0,10,sess_000040_1,legit,0
sess_000040_a2,sess_000040,1,2026-03-19T10:11:06,1988.2,1,travel,merchant_038,1,12744.12,2,2776.09,0.716,1,5,127,1,10,sess_000040_2,legit,0
sess_000040_a3,sess_000040,1,2026-03-19T10:16:40,2786.13,1,travel,merchant_019,0,12744.12,2,2776.09,1.004,1,2,516,0,10,sess_000040_3,legit,0
sess_000041_a0,sess_000041,2,2026-01-23T20:18:19,1213.18,1,electronics,merchant_037,1,7092.73,3,766.63,1.582,1,5,53,0,20,sess_000041_0,legit,0
sess_000041_a1,sess_000041,2,2026-01-23T20:18:48,423.53,1,electronics,merchant_048,1,7092.73,3,766.63,0.552,1,3,308,1,20,sess_000041_1,legit,0
sess_000041_a2,sess_000041,2,2026-01-23T20:16:45,1144.05,1,electronics,merchant_034,0,7092.73,3,766.63,1.492,1,2,355,0,20,sess_000041_2,legit,0
sess_000042_a0,sess_000042,2,2026-05-06T03:39:31,571.87,4,electronics,merchant_009,1,7092.73,3,766.63,0.746,1,4,141,0,3,sess_000042_0,quantity_manipulation,1
sess_000042_a1,sess_000042,2,2026-05-06T03:33:12,15573.54,1,electronics,merchant_048,1,7092.73,3,766.63,20.314,1,5,588,1,3,sess_000042_1,amount_manipulation,1
sess_000043_a0,sess_000043,2,2026-03-26T14:48:49,485.47,1,electronics,merchant_037,1,7092.73,3,766.63,0.633,1,3,394,1,14,sess_000043_0,legit,0
sess_000043_a1,sess_000043,2,2026-03-26T14:53:22,166.42,1,electronics,merchant_048,1,7092.73,3,766.63,0.217,1,5,108,0,14,sess_000043_1,legit,0
sess_000043_a2,sess_000043,2,2026-03-26T14:52:51,471.04,1,electronics,merchant_009,1,7092.73,3,766.63,0.614,1,5,166,1,14,sess_000043_2,legit,0
sess_000043_a3,sess_000043,2,2026-03-26T15:13:56,563.9,1,electronics,merchant_048,1,7092.73,3,766.63,0.736,1,3,202,0,15,sess_000043_3,legit,0
sess_000044_a0,sess_000044,2,2026-06-30T11:29:58,1163.87,1,electronics,merchant_016,1,7092.73,3,766.63,1.518,1,5,467,1,11,sess_000044_0,legit,0
sess_000044_a1,sess_000044,2,2026-06-30T11:26:14,1117.57,1,fashion,merchant_047,1,7092.73,3,766.63,1.458,0,3,539,0,11,sess_000044_1,legit,0
sess_000044_a2,sess_000044,2,2026-06-30T11:37:30,657.23,1,electronics,merchant_016,1,7092.73,3,766.63,0.857,1,3,173,0,11,sess_000044_2,legit,0
sess_000044_a3,sess_000044,2,2026-06-30T11:36:40,1126.25,1,groceries,merchant_011,0,7092.73,3,766.63,1.469,0,3,200,1,11,sess_000044_3,merchant_substitution,1
sess_000045_a0,sess_000045,2,2026-01-24T17:13:52,825.5,1,electronics,merchant_037,1,7092.73,3,766.63,1.077,1,4,183,1,17,sess_000045_0,legit,0
sess_000045_a1,sess_000045,2,2026-01-24T17:22:54,974.64,1,electronics,merchant_047,1,7092.73,3,766.63,1.271,1,4,76,0,17,sess_000045_1,legit,0
sess_000046_a0,sess_000046,2,2026-06-12T20:24:21,1087.71,1,electronics,merchant_047,1,7092.73,3,766.63,1.419,1,2,199,0,20,sess_000046_0,legit,0
sess_000046_a1,sess_000046,2,2026-06-12T20:30:48,1038.08,1,electronics,merchant_009,1,7092.73,3,766.63,1.354,1,2,452,1,20,sess_000046_1,legit,0
sess_000046_a2,sess_000046,2,2026-06-12T20:37:15,1367.35,1,electronics,merchant_037,1,7092.73,3,766.63,1.784,1,3,418,1,20,sess_000046_2,legit,0
sess_000047_a0,sess_000047,2,2026-07-01T00:57:57,1228.9,1,electronics,merchant_040,0,7092.73,3,766.63,1.603,1,2,361,1,0,sess_000047_0,legit,0
sess_000047_a1,sess_000047,2,2026-07-01T01:04:48,819.05,1,electronics,merchant_031,0,7092.73,3,766.63,1.068,1,3,175,1,1,sess_000047_1,legit,0
sess_000047_a2,sess_000047,2,2026-07-01T01:12:42,721.3,1,electronics,merchant_016,1,7092.73,3,766.63,0.941,1,5,254,0,1,sess_000047_2,legit,0
sess_000048_a0,sess_000048,2,2026-03-26T11:36:25,761.91,1,electronics,merchant_031,0,7092.73,3,766.63,0.994,1,2,267,0,11,sess_000048_0,legit,0
sess_000048_a1,sess_000048,2,2026-03-26T11:46:12,726.56,1,electronics,merchant_009,1,7092.73,3,766.63,0.948,1,5,388,0,11,sess_000048_1,legit,0
sess_000048_a2,sess_000048,2,2026-03-26T11:36:03,873.72,1,electronics,merchant_047,1,7092.73,3,766.63,1.14,1,2,420,1,11,sess_000048_2,legit,0
sess_000048_a3,sess_000048,2,2026-03-26T11:53:24,924.6,1,electronics,merchant_048,1,7092.73,3,766.63,1.206,1,3,50,0,11,sess_000048_3,legit,0
sess_000048_a4,sess_000048,2,2026-03-26T11:56:35,878.06,1,electronics,merchant_037,1,7092.73,3,766.63,1.145,1,4,518,0,11,sess_000048_4,legit,0
sess_000049_a0,sess_000049,2,2026-03-21T06:37:23,545.37,1,groceries,merchant_016,1,7092.73,3,766.63,0.711,0,3,597,0,6,sess_000049_0,legit,0
sess_000050_a0,sess_000050,2,2026-03-01T00:24:53,547.07,1,electronics,merchant_042,0,7092.73,3,766.63,0.714,1,3,300,0,0,sess_000050_0,merchant_substitution,1
sess_000050_a1,sess_000050,2,2026-03-01T00:35:22,914.73,1,electronics,merchant_009,1,7092.73,3,766.63,1.193,1,2,258,1,0,sess_000050_1,legit,0
sess_000050_a2,sess_000050,2,2026-03-01T00:46:48,812.5,1,electronics,merchant_047,1,7092.73,3,766.63,1.06,1,4,121,1,0,sess_000050_2,legit,0
sess_000050_a3,sess_000050,2,2026-03-01T00:21:08,774.64,1,electronics,merchant_009,1,7092.73,3,766.63,1.01,1,4,153,0,0,sess_000050_3,legit,0
sess_000051_a0,sess_000051,2,2026-05-17T02:59:27,577.09,1,electronics,merchant_048,1,7092.73,3,766.63,0.753,1,2,127,0,2,sess_000051_0,legit,0
sess_000052_a0,sess_000052,2,2026-05-16T19:07:43,709.25,1,electronics,merchant_016,1,7092.73,3,766.63,0.925,1,3,348,1,19,sess_000052_0,legit,0
sess_000052_a1,sess_000052,2,2026-05-16T19:21:16,1137.68,1,subscriptions,merchant_016,1,7092.73,3,766.63,1.484,0,2,250,1,19,sess_000052_1,legit,0
sess_000053_a0,sess_000053,2,2026-05-22T11:03:52,1147.65,1,electronics,merchant_048,1,7092.73,3,766.63,1.497,1,2,296,0,11,sess_000053_0,legit,0
sess_000054_a0,sess_000054,2,2026-04-12T18:19:11,582.77,1,electronics,merchant_016,1,7092.73,3,766.63,0.76,1,5,108,0,18,sess_000054_0,legit,0
sess_000054_a1,sess_000054,2,2026-04-12T18:21:10,410.32,1,electronics,merchant_047,1,7092.73,3,766.63,0.535,1,5,181,1,18,sess_000054_1,legit,0
sess_000054_a2,sess_000054,2,2026-04-12T18:40:45,901.77,1,electronics,merchant_055,0,7092.73,3,766.63,1.176,1,4,308,1,18,sess_000054_2,legit,0
sess_000055_a0,sess_000055,2,2026-04-22T01:45:04,876.62,1,electronics,merchant_059,0,7092.73,3,766.63,1.143,1,4,254,1,1,sess_000055_0,legit,0
sess_000055_a1,sess_000055,2,2026-04-22T01:57:08,758.86,1,electronics,merchant_037,1,7092.73,3,766.63,0.99,1,3,43,1,1,sess_000055_1,legit,0
sess_000055_a2,sess_000055,2,2026-04-22T02:08:00,987.17,1,electronics,merchant_009,0,7092.73,3,766.63,1.288,1,3,57,0,2,sess_000055_2,legit,0
sess_000055_a3,sess_000055,2,2026-04-22T01:43:00,852.03,1,electronics,merchant_048,1,7092.73,3,766.63,1.111,1,3,193,1,1,sess_000055_3,legit,0
sess_000056_a0,sess_000056,2,2026-06-14T00:03:53,1067.72,1,electronics,merchant_037,1,7092.73,3,766.63,1.393,1,5,565,0,0,sess_000056_0,legit,0
sess_000056_a1,sess_000056,2,2026-06-14T00:14:32,1136.87,1,electronics,merchant_016,1,7092.73,3,766.63,1.483,1,5,277,1,0,sess_000056_1,legit,0
sess_000056_a2,sess_000056,2,2026-06-14T00:26:24,1644.31,1,electronics,merchant_047,0,7092.73,3,766.63,2.145,1,4,54,1,0,sess_000056_2,legit,0
sess_000057_a0,sess_000057,2,2026-02-10T07:26:18,955.7,1,electronics,merchant_013,0,7092.73,3,766.63,1.247,1,11,8,1,7,sess_000057_0,velocity_abuse,1
sess_000057_a1,sess_000057,2,2026-02-10T07:35:28,745.5,1,electronics,merchant_048,1,7092.73,3,766.63,0.972,1,2,357,3,7,sess_000057_0,replay,1
sess_000057_a2,sess_000057,2,2026-02-10T07:52:51,15193.2,1,electronics,merchant_009,1,7092.73,3,766.63,19.818,1,5,464,0,7,sess_000057_2,amount_manipulation,1
